Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:17:44.136000,SAI,55,0 days 00:02:16.889000,23.0,4.0,,,0 days 00:00:34.049000,0 days 00:00:55.419000,0 days 00:00:47.421000,0 days 01:16:01.296000,0 days 01:16:56.715000,0 days 01:17:44.136000,205.0,166.0,44.0,283.0,False,HARD,15.0,False,Ferrari,0 days 01:15:27.247000,2023-09-15 10:30:27.265,1,,False,,False,True,fp1
0 days 01:20:15.586000,SAI,55,,24.0,4.0,,0 days 01:20:07.196000,0 days 00:00:53.537000,0 days 00:00:51.012000,0 days 00:00:46.822000,0 days 01:18:37.807000,0 days 01:19:28.775000,0 days 01:20:15.586000,290.0,141.0,,204.0,False,HARD,16.0,False,Ferrari,0 days 01:17:44.136000,2023-09-15 10:32:44.154,1,,False,,False,False,fp1
0 days 00:18:28.454000,SAI,55,,1.0,1.0,0 days 00:16:06.998000,,,0 days 00:00:52.596000,0 days 00:00:52.175000,,0 days 00:17:36.434000,0 days 00:18:28.512000,288.0,247.0,250.0,,False,MEDIUM,1.0,True,Ferrari,0 days 00:16:06.998000,2023-09-15 13:01:08.402,1,,False,,False,False,fp2
0 days 00:20:02.604000,SAI,55,0 days 00:01:34.150000,2.0,1.0,,,0 days 00:00:27.626000,0 days 00:00:39.848000,0 days 00:00:26.676000,0 days 00:18:56.080000,0 days 00:19:35.928000,0 days 00:20:02.604000,308.0,276.0,250.0,295.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:18:28.454000,2023-09-15 13:03:29.858,1,,False,,False,True,fp2
0 days 00:22:51.140000,SAI,55,,3.0,1.0,,,0 days 00:00:53.113000,0 days 00:01:12.478000,0 days 00:00:42.951000,0 days 00:20:55.900000,0 days 00:22:08.211000,0 days 00:22:51.210000,156.0,185.0,252.0,132.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:20:02.604000,2023-09-15 13:05:04.008,1,,False,,False,False,fp2
0 days 00:24:24.443000,SAI,55,0 days 00:01:33.303000,4.0,1.0,,,0 days 00:00:27.301000,0 days 00:00:39.567000,0 days 00:00:26.435000,0 days 00:23:18.441000,0 days 00:23:58.008000,0 days 00:24:24.443000,311.0,277.0,255.0,298.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:22:51.140000,2023-09-15 13:07:52.544,1,,False,,False,True,fp2
0 days 00:27:26.943000,SAI,55,,5.0,1.0,,,0 days 00:00:52.516000,0 days 00:01:27.487000,0 days 00:00:42.518000,0 days 00:25:17.145000,0 days 00:26:44.425000,0 days 00:27:27.049000,117.0,146.0,254.0,215.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:24:24.443000,2023-09-15 13:09:25.847,1,,False,,False,False,fp2
0 days 00:29:00.156000,SAI,55,0 days 00:01:33.213000,6.0,1.0,,,0 days 00:00:27.238000,0 days 00:00:39.529000,0 days 00:00:26.446000,0 days 00:27:54.181000,0 days 00:28:33.710000,0 days 00:29:00.156000,310.0,277.0,256.0,298.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:27:26.943000,2023-09-15 13:12:28.347,1,,False,,False,True,fp2
0 days 00:31:09.639000,SAI,55,0 days 00:02:09.483000,7.0,1.0,,0 days 00:31:01.795000,0 days 00:00:33.040000,0 days 00:00:53.979000,0 days 00:00:42.464000,0 days 00:29:33.196000,0 days 00:30:27.175000,0 days 00:31:09.639000,216.0,180.0,,262.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:29:00.156000,2023-09-15 13:14:01.560,1,,False,,False,False,fp2
0 days 00:40:49.207000,SAI,55,,8.0,2.0,0 days 00:38:26.069000,,,0 days 00:00:55.972000,0 days 00:00:38.129000,,0 days 00:40:11.114000,0 days 00:40:49.207000,260.0,240.0,256.0,,False,SOFT,1.0,True,Ferrari,0 days 00:31:09.639000,2023-09-15 13:16:11.043,1,,False,,False,False,fp2
